source,function,direction,target,tab,page,symbol,type,status,line,parentDepth,message
"Form/TabParentAccess.xfdl","readChildFromParent","PARENT_TO_CHILD","TabContent/ParentAccessChild.xfdl","tabParent","pageChild","edtChild","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabParentCallsChild.xfdl","fnCall","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","fnSearch","FUNCTION","RUNTIME_VERIFY_REQUIRED","2","0","lazy child 함수 호출은 activateTab 이후 Promise 반환 가능"
"Form/TabParentCallsChildIndexed.xfdl","fnCallIndex","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","fnSearch","FUNCTION","RESOLVED","2","0",""
"Form/TabParentCallsChildIndexed.xfdl","fnCallName","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","fnSearch","FUNCTION","RESOLVED","3","0",""
"Form/TabParentReadsChildComponent.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","edtName","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabParentReadsChildComponent.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","edtName","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabParentReadsChildDataset.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","dsSearch","DATASET","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabParentReadsChildDataset.xfdl","fnRead","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","dsSearch","DATASET","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabSameScreenMultiInstance.xfdl","fnRead","PARENT_TO_CHILD","TabContent/Search.xfdl","tabMain","a","edtKeyword","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabSameScreenMultiInstance.xfdl","fnRead","PARENT_TO_CHILD","TabContent/Search.xfdl","tabMain","b","edtKeyword","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabStateSameScreenMultiInstance.xfdl","fnState","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","A","edtName","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabStateSameScreenMultiInstance.xfdl","fnState","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","B","edtName","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabStateSwitchRetention.xfdl","fnSwitch","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","A","edtName","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabStateSwitchRetention.xfdl","fnSwitch","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","A","edtName","COMPONENT","RUNTIME_VERIFY_REQUIRED","2","0","lazy child Component/Dataset 동기 접근은 child render 전 사용할 수 없어 runtime 확인 필요"
"Form/TabStateUrlReplacement.xfdl","fnReplace","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","A","edtName","COMPONENT","RESOLVED","2","0",""
"Form/TabStateUrlReplacement.xfdl","fnReplace","PARENT_TO_CHILD","TabContent/Detail.xfdl","tabMain","A","edtName","UNKNOWN","UNRESOLVED","2","0",""
"Form/TabStateXjsGlobalIsolation.xfdl","fnCheck","PARENT_TO_CHILD","TabContent/StateXjsChild.xfdl","tabMain","A","fnNext","FUNCTION","RESOLVED","2","0",""
"Form/TabStateXjsGlobalIsolation.xfdl","fnCheck","PARENT_TO_CHILD","TabContent/StateXjsChild.xfdl","tabMain","B","fnNext","FUNCTION","RESOLVED","2","0",""
"Form/TabUnresolvedChildComponent.xfdl","fnBad","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","edtUnknown","UNKNOWN","UNRESOLVED","2","0",""
"Form/TabUnresolvedChildFunction.xfdl","fnBad","PARENT_TO_CHILD","TabContent/RuntimeBridgeChild.xfdl","tabMain","pageChild","fnUnknown","UNKNOWN","UNRESOLVED","2","0",""
"TabContent/ChildBridgeParent.xfdl","fnChildCallParent","CHILD_TO_PARENT","Form/TabChildCallsParent.xfdl","tabMain","pageChild","fnParent","FUNCTION","RESOLVED","2","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabChildCallsParent.xfdl","tabMain","pageChild","edtParent","UNKNOWN","UNRESOLVED","3","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabChildCallsParent.xfdl","tabMain","pageChild","dsParent","DATASET","RESOLVED","3","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildCallParent","CHILD_TO_PARENT","Form/TabChildReadsParentComponent.xfdl","tabMain","pageChild","fnParent","FUNCTION","RESOLVED","2","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabChildReadsParentComponent.xfdl","tabMain","pageChild","edtParent","COMPONENT","RESOLVED","3","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabChildReadsParentComponent.xfdl","tabMain","pageChild","dsParent","UNKNOWN","UNRESOLVED","3","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildCallParent","CHILD_TO_PARENT","Form/TabChildReadsParentDataset.xfdl","tabMain","pageChild","fnParent","FUNCTION","RESOLVED","2","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabChildReadsParentDataset.xfdl","tabMain","pageChild","edtParent","UNKNOWN","UNRESOLVED","3","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabChildReadsParentDataset.xfdl","tabMain","pageChild","dsParent","DATASET","RESOLVED","3","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildCallParent","CHILD_TO_PARENT","Form/TabParentDirect.xfdl","tabMain","child","fnParent","FUNCTION","RESOLVED","2","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabParentDirect.xfdl","tabMain","child","edtParent","UNKNOWN","UNRESOLVED","3","1",""
"TabContent/ChildBridgeParent.xfdl","fnChildReadParent","CHILD_TO_PARENT","Form/TabParentDirect.xfdl","tabMain","child","dsParent","UNKNOWN","UNRESOLVED","3","1",""
"TabContent/ParentDepth2Second.xfdl","fnDepth2","CHILD_TO_PARENT","TabContent/ParentDepth2First.xfdl","tabInner","second","fnFirst2","FUNCTION","RESOLVED","1","1",""
"TabContent/ParentDepth2Second.xfdl","fnDepth2","CHILD_TO_PARENT","Form/TabParentDepth2.xfdl","tabInner","second","fnRoot2","FUNCTION","RESOLVED","1","2",""
"TabContent/ParentDepth3Third.xfdl","fnDepth3","CHILD_TO_PARENT","TabContent/ParentDepth3Second.xfdl","tab3","third","fnSecond3","FUNCTION","RESOLVED","1","1",""
"TabContent/ParentDepth3Third.xfdl","fnDepth3","CHILD_TO_PARENT","TabContent/ParentDepth3First.xfdl","tab3","third","fnFirst3","FUNCTION","RESOLVED","1","2",""
"TabContent/ParentDepth3Third.xfdl","fnDepth3","CHILD_TO_PARENT","Form/TabParentDepth3.xfdl","tab3","third","fnRoot3","FUNCTION","RESOLVED","1","3",""
"TabContent/ParentDepthThird.xfdl","fnDepth","CHILD_TO_PARENT","TabContent/ParentDepthSecond.xfdl","tabSecond","third","fnSecond","FUNCTION","RESOLVED","2","1",""
"TabContent/ParentDepthThird.xfdl","fnDepth","CHILD_TO_PARENT","TabContent/ParentDepthFirst.xfdl","tabSecond","third","fnFirst","FUNCTION","RESOLVED","2","2",""
"TabContent/ParentDepthThird.xfdl","fnDepth","CHILD_TO_PARENT","Form/TabParentDepthMain.xfdl","tabSecond","third","fnMain","FUNCTION","RESOLVED","2","3",""
"TabContent/ParentDepthThird.xfdl","fnTooDeep","CHILD_TO_PARENT","","tabSecond","third","fnMissing","UNKNOWN","UNRESOLVED","3","4",""
"TabContent/ParentDepthUnresolvedChild.xfdl","fnTooDeep","CHILD_TO_PARENT","","tabMain","child","fnMissing","UNKNOWN","UNRESOLVED","1","3",""
