screen,function,line,operation,tab,tabPage,expression,resolvedSource,target,webSquareSrc,loading,status,message
"Form/TabDynamicContent.xfdl","changePage2","3","SET_URL","tabDynamic","pageA","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabDynamicIdCollision.xfdl","fnAdd","2","ADD_PAGE","tabMain","a-b","","","","","LAZY","SUPPORTED",""
"Form/TabDynamicIdCollision.xfdl","fnAdd","2","ADD_PAGE","tabMain","a_b","","","","","LAZY","SUPPORTED",""
"Form/TabDynamicIndexedSetUrl.xfdl","fnByIndex","2","SET_URL","tabMain","0","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabDynamicIndexedSetUrl.xfdl","fnByName","3","SET_URL","tabMain","pageDetail","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabDynamicPathXjs.xfdl","fnOpen","3","SET_URL","tabMain","pageSearch","gvRuntimePath","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabDynamicReplaceState.xfdl","fnReplace","2","SET_URL","tabMain","search","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabDynamicRuntimeOnly.xfdl","fnOpen","2","SET_URL","tabMain","pageSearch","""../TabContent/""+name+"".xfdl""","","","","LAZY","RUNTIME_DYNAMIC","정적 target을 확정할 수 없어 runtime path registry로 변환"
"Form/TabDynamicSameScreenMultiInstance.xfdl","fnAdd","2","SET_URL","tabMain","A","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabDynamicSameScreenMultiInstance.xfdl","fnAdd","2","SET_URL","tabMain","B","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabDynamicSameScreenMultiInstance.xfdl","fnAdd","2","ADD_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabDynamicSameScreenMultiInstance.xfdl","fnAdd","2","ADD_PAGE","tabMain","B","","","","","LAZY","SUPPORTED",""
"Form/TabDynamicSelection.xfdl","fnSelect","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabDynamicServicePath.xfdl","fnOpen","2","SET_URL","tabMain","pageSearch","""TabForm::Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabDynamicSetUrlConditional.xfdl","fnOpen","2","SET_URL","tabMain","pageSearch","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabDynamicSetUrlConditional.xfdl","fnOpen","2","SET_URL","tabMain","pageSearch","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabDynamicSetUrlStatic.xfdl","fnOpen","2","SET_URL","tabMain","pageSearch","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabDynamicSetUrlVariable.xfdl","fnOpen","2","SET_URL","tabMain","pageSearch","url","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabInsertPage.xfdl","fnInsert","2","SET_URL","tabMain","tabNew","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabInsertPage.xfdl","fnInsert","2","INSERT_PAGE","tabMain","tabNew","","","","","LAZY","SUPPORTED",""
"Form/TabInsertPageOverloads.xfdl","fnInsert","2","INSERT_PAGE","tabMain","inserted","","","","","LAZY","SUPPORTED",""
"Form/TabLifecycleDynamicAdd.xfdl","fnAdd","2","SET_URL","tabMain","child","""../TabContent/LifecycleChild.xfdl""","TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xml","../TabContent/LifecycleChild.xml","LAZY","SUPPORTED",""
"Form/TabLifecycleDynamicAdd.xfdl","fnAdd","2","ADD_PAGE","tabMain","child","","","","","LAZY","SUPPORTED",""
"Form/TabLifecycleInactiveReplace.xfdl","fnReplaceInactive","2","SET_URL","tabMain","B","""../TabContent/LifecycleChild.xfdl""","TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xml","../TabContent/LifecycleChild.xml","LAZY","SUPPORTED",""
"Form/TabLifecycleRemoveSelected.xfdl","fnRemove","2","REMOVE_PAGE","tabMain","B","","","","","EAGER","SUPPORTED",""
"Form/TabLifecycleRemoveSelected.xfdl","fnRemove","2","SELECT_PAGE","tabMain","","","","","","EAGER","SUPPORTED",""
"Form/TabLifecycleSelectedReplace.xfdl","fnReplace","2","SET_URL","tabMain","child","""../TabContent/LifecycleChild.xfdl""","TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xml","../TabContent/LifecycleChild.xml","EAGER","SUPPORTED",""
"Form/TabLifecycleSelectedReplace.xfdl","fnReplace","2","SELECT_PAGE","tabMain","","","","","","EAGER","SUPPORTED",""
"Form/TabLifecycleSetUrlReplace.xfdl","fnReplace","2","SET_URL","tabMain","child","""../TabContent/LifecycleChild.xfdl""","TabContent/LifecycleChild.xfdl","TabContent/LifecycleChild.xml","../TabContent/LifecycleChild.xml","LAZY","SUPPORTED",""
"Form/TabPreloadDynamicUrl.xfdl","fnChange","2","SET_URL","tabMain","pageSearch","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","EAGER","SUPPORTED",""
"Form/TabRemovePage.xfdl","fnRemove","2","REMOVE_PAGE","tabMain","tabA","","","","","LAZY","SUPPORTED",""
"Form/TabRemoveReAdd.xfdl","fnCycle","2","SET_URL","tabMain","tabA","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabRemoveReAdd.xfdl","fnCycle","2","SET_URL","tabMain","tabA","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabRemoveReAdd.xfdl","fnCycle","2","ADD_PAGE","tabMain","tabA","","","","","LAZY","SUPPORTED",""
"Form/TabRemoveReAdd.xfdl","fnCycle","2","ADD_PAGE","tabMain","tabA","","","","","LAZY","SUPPORTED",""
"Form/TabRemoveReAdd.xfdl","fnCycle","2","REMOVE_PAGE","tabMain","tabA","","","","","LAZY","SUPPORTED",""
"Form/TabStateArgumentIsolation.xfdl","fnArgs","2","SET_URL","tabMain","A","""../TabContent/RuntimeBridgeChild.xfdl""","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","SUPPORTED",""
"Form/TabStateArgumentIsolation.xfdl","fnArgs","2","SET_URL","tabMain","B","""../TabContent/RuntimeBridgeChild.xfdl""","TabContent/RuntimeBridgeChild.xfdl","TabContent/RuntimeBridgeChild.xml","../TabContent/RuntimeBridgeChild.xml","LAZY","SUPPORTED",""
"Form/TabStateArgumentIsolation.xfdl","fnArgs","2","ADD_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabStateArgumentIsolation.xfdl","fnArgs","2","ADD_PAGE","tabMain","B","","","","","LAZY","SUPPORTED",""
"Form/TabStateGenerationIsolation.xfdl","fnGen","2","SET_URL","tabMain","A","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"Form/TabStateGenerationIsolation.xfdl","fnGen","2","SET_URL","tabMain","A","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabStateRemoveCleanup.xfdl","fnCycle","2","SET_URL","tabMain","A","""../TabContent/Search.xfdl""","TabContent/Search.xfdl","TabContent/Search.xml","../TabContent/Search.xml","LAZY","SUPPORTED",""
"Form/TabStateRemoveCleanup.xfdl","fnCycle","2","ADD_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabStateRemoveCleanup.xfdl","fnCycle","2","REMOVE_PAGE","tabMain","A","","","","","LAZY","SUPPORTED",""
"Form/TabStateRetention.xfdl","fnSwitch","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabStateRetention.xfdl","fnSwitch","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabStateSwitchRetention.xfdl","fnSwitch","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabStateSwitchRetention.xfdl","fnSwitch","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabStateSwitchRetention.xfdl","fnSwitch","2","SELECT_PAGE","tabMain","","","","","","LAZY","SUPPORTED",""
"Form/TabStateUrlReplacement.xfdl","fnReplace","2","SET_URL","tabMain","A","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","EAGER","SUPPORTED",""
"Form/TabStaticDynamicMixed.xfdl","fnChange","2","SET_URL","tabMain","pageSearch","""../TabContent/Detail.xfdl""","TabContent/Detail.xfdl","TabContent/Detail.xml","../TabContent/Detail.xml","LAZY","SUPPORTED",""
"TabContent/NestedDynamicFirst.xfdl","openSecond","2","SET_URL","tabInner","innerSeed","""SecondTab.xfdl""","TabContent/SecondTab.xfdl","TabContent/SecondTab.xml","./SecondTab.xml","LAZY","SUPPORTED",""
